feature,mutual_info,rank_mutual_info,rf_importance,rank_random_forest,permutation_f1_drop,permutation_std,rank_permutation,avg_rank,top15_votes,origin,catalog_period_dependent
ls_log_period_delta_catalog,0.6721383846449465,3,0.037626008593551814,8,0.01157374949574197,0.001512420414219669,3,4.666666666666667,3,Lomb-Scargle,True
ls_period_catalog_ratio,0.67236339834265,2,0.03686589260361136,9,0.010984233326655574,0.0019312209722450575,4,5.0,3,Lomb-Scargle,True
has_period2,0.5790662310149239,15,0.08900992468743135,1,0.1557953719005592,0.003943521756123799,1,5.666666666666667,3,Catalogo/base,True
period,0.623432456910237,11,0.06673487785469343,3,0.004845630357820499,0.0011570633813108406,7,7.0,3,Catalogo/base,True
log_period,0.6222238338345933,13,0.06328403790449492,4,0.006281270890941784,0.00210755004749878,6,7.666666666666667,3,Catalogo/base,True
I_phot_mean,0.6314157304189378,7,0.044703676662644194,6,0.0012448969612018912,0.0017836380338236467,11,8.0,3,Fotometria I/V,False
I_amp,0.4989877179572968,17,0.058439050968676916,5,0.01499922587883376,0.0027479633982610864,2,8.0,2,Catalogo/base,False
I_kurtosis,0.2793169006694358,38,0.06875847150594999,2,0.008772297056798134,0.0022397103408422084,5,15.0,2,Catalogo/base,False
I_median,0.6240160743745187,9,0.033666828718430825,10,-9.6182984609533e-06,0.0013104065664906867,27,15.333333333333334,2,Catalogo/base,False
I_phot_weighted_mean,0.6300344664704072,8,0.02988755553229163,12,-5.056780166622088e-05,0.0014007695981175948,28,16.0,2,Fotometria I/V,False
I_phot_median,0.6239323737144034,10,0.032106910315106874,11,-5.4527591594424885e-05,0.0016642669402361064,29,16.666666666666668,2,Fotometria I/V,False
I_mean,0.622107578099313,14,0.02198480689548618,14,-0.0001483507488748842,0.0013253359015395004,32,20.0,2,Catalogo/base,False
V_minus_I,0.756781221064565,1,0.04132284276767902,7,-0.001738181328040933,0.0011479966690740011,60,22.666666666666668,2,Catalogo/base,False
fourier_offset_I,0.6230537386987787,12,0.025190702700339577,13,-0.000816257315375768,0.0012985567994903884,51,25.333333333333332,2,Fourier,False
ls_frequency_I,0.49463017685346333,20,0.010470669581356508,26,0.0010245970909816965,0.0012226292156960357,13,19.666666666666668,1,Lomb-Scargle,False
fourier_phi21_I,0.2782386707621318,39,0.013736665106482636,22,0.0032261306329068595,0.0015726723208267905,9,23.333333333333332,1,Fourier,False
ls_power_I,0.14661373166667024,45,0.014887286789349877,21,0.0024725620447040575,0.0016018171722966047,10,25.333333333333332,1,Lomb-Scargle,False
fourier_resid_std_I,0.3070450570874024,36,0.008277711046169839,35,0.0012235319862302918,0.0009196490392879842,12,27.666666666666668,1,Fourier,False
fourier_model_amp_I,0.394178350079172,30,0.019881359973980516,15,-0.00035379977060018275,0.0005988369499231665,39,28.0,1,Fourier,False
fourier_var_ratio_I,0.14188979676652957,46,0.009597537198328576,31,0.0035508388893259885,0.0007894566669544978,8,28.333333333333332,1,Fourier,False
period2,0.6411737095826535,4,0.010021181868360755,29,-0.0013255873622173703,0.0003718814620630364,56,29.666666666666668,1,Catalogo/base,True
period_ratio,0.6337763843632038,5,0.008284361174512617,34,-0.0007360971524678211,0.00041174834795537385,50,29.666666666666668,1,Catalogo/base,True
log_period2,0.6316468078108959,6,0.007983422491171524,37,-0.0013394338793565608,0.00047159843449695815,57,33.333333333333336,1,Catalogo/base,True
fourier_R31_I,0.0847473088724433,50,0.0066868214681138575,38,0.0008117717463622803,0.0010208514666851579,14,34.0,1,Fourier,False
fourier_R41_I,0.0670600171361726,51,0.004744241243429153,44,0.0006651915033536182,0.0005562643781546579,15,36.666666666666664,1,Fourier,False
I_mad,0.4019544317145718,28,0.016473691545782154,19,0.00018200852477487373,0.0010282739146488865,22,23.0,0,Catalogo/base,False
ls_period_I,0.49588473207679273,18,0.008972086871330663,32,0.00022005296109746386,0.0006221432712880577,20,23.333333333333332,0,Lomb-Scargle,False
ls_log_period_I,0.49450041468218386,21,0.00997635938633334,30,0.000199629219640729,0.0009445744695124754,21,24.0,0,Lomb-Scargle,False
fourier_A1_I,0.40395814690667087,27,0.010134703256932444,27,0.00024856639831755123,0.0007377414554554482,19,24.333333333333332,0,Fourier,False
V_mean,0.553125805993955,16,0.012437656681396802,23,-0.0003064147633020792,0.0007009770294807823,37,25.333333333333332,0,Catalogo/base,False
V_minus_I_phot_weighted_mean,0.43503272259767645,22,0.0060867982115104515,39,0.0002487372364045476,0.0005088863359428889,18,26.333333333333332,0,Fotometria I/V,False
V_minus_I_phot_mean,0.42871980848428004,23,0.005753595043291579,40,0.0003290209565879887,0.0006694932797817391,17,26.666666666666668,0,Fotometria I/V,False
V_minus_I_phot_median,0.4240425855735861,24,0.005729732981027376,41,0.0001476007821722275,0.0004429382817279544,23,29.333333333333332,0,Fotometria I/V,False
