id,type,subtype,class_grouped,n_obs_I,I_median,I_mean,V_minus_I,log_period,I_amp,log_period2,period_ratio,has_period2,I_p95_p5,I_mad,I_kurtosis
LMC563.16.842,OTHER,,OTHER,325,18.927,18.925,0.05600000000000094,0.2673923409078194,0.069,,,0,0.17760000000000176,0.030000000000001137,0.33652151191069235
LMC563.16.1142,RRLYR,RRab,PULS,334,19.1785,19.091,0.6539999999999999,-0.30587981462438213,0.839,,,0,0.7349999999999994,0.1509999999999998,-0.644866171378415
LMC563.16.8,LPV,OSARG,LPV,337,14.656,14.662,1.7209999999999983,2.56702636615906,0.045,1.7005306569785916,0.1359891598915989,1,0.056400000000000006,0.010999999999999233,0.004256169686430056
LMC563.16.9286,ECL,,BINARY,337,18.687,18.69,0.11799999999999855,-0.01203581832932784,0.264,,,0,0.2607999999999997,0.04600000000000293,0.7574116692027153
LMC563.16.2137,OTHER,,OTHER,337,19.536,19.526,0.0030000000000001137,-0.07034100135093947,0.142,,,0,0.3308,0.05600000000000094,2.1636979438445443
LMC563.16.6742,OTHER,,OTHER,334,20.33,20.301,0.674000000000003,-1.053979296120214,0.234,,,0,0.601700000000001,0.1059999999999981,0.5075199378783473
LMC563.25.2150,ECL,,BINARY,326,19.3935,19.414,0.4499999999999993,0.1827446707158718,0.407,,,0,0.49175000000000324,0.07599999999999874,1.6314617599555277
LMC563.16.8317,LPV,OSARG,LPV,337,14.586,14.586,1.3699999999999992,1.3841741388070334,0.015,2.6848453616444123,19.983484723369116,1,0.038000000000000256,0.007999999999999119,0.2547126398329418
LMC563.16.45,ECL,RSCVn,BINARY,335,16.089,16.09,0.8550000000000004,0.33558526168747577,0.184,0.3276572177847414,0.9819106174401503,1,0.12679999999999936,0.01899999999999835,4.13749501967812
LMC563.16.9413,OTHER,,OTHER,336,18.5165,18.511,0.5020000000000024,0.6833712864879428,0.093,,,0,0.14649999999999963,0.030999999999998806,-0.20612335648850966
LMC563.25.22,LPV,OSARG,LPV,337,14.727,14.728,1.8460000000000019,1.7025166974381505,0.025,2.3609718837259357,4.554651854790716,1,0.0475999999999992,0.009000000000000341,0.9886498137036619
LMC563.16.8438,ELL,,BINARY,336,17.121499999999997,17.118,0.17100000000000293,1.2062428288810865,0.1,,,0,0.1112499999999983,0.032999999999999474,-1.0672467949011473
LMC563.25.156,ECL,,BINARY,337,16.573,16.574,0.6899999999999977,2.049605612594973,0.073,,,0,0.05900000000000105,0.012000000000000455,0.5451099634247827
LMC563.16.2213,DSCT,,PULS,335,20.067,20.035,0.5180000000000007,-1.024498342334276,0.305,,,0,0.5195000000000007,0.10000000000000142,0.2357692112424088
LMC563.16.12,LPV,OSARG,LPV,336,14.629,14.629,1.5570000000000004,1.195456833628169,0.006,1.3142465352884218,1.3145881152767152,1,0.019000000000000128,0.0039999999999995595,0.6181722761582238
LMC563.16.22,LPV,OSARG,LPV,337,14.938,14.939,1.6580000000000013,1.0861105738013195,0.005,1.478999131673357,2.4710899696547197,1,0.0259999999999998,0.005000000000000782,0.08294412952997199
LMC563.25.8058,ECL,,BINARY,337,18.902,18.908,0.26099999999999923,0.19255686065902705,0.357,,,0,0.3653999999999975,0.07600000000000051,0.3433035997012488
LMC563.25.7568,OTHER,,OTHER,336,17.68,17.676,-0.005999999999996675,0.23719425188397844,0.03,,,0,0.07499999999999929,0.015000000000000568,0.1512817218187883
LMC563.16.8332,OTHER,,OTHER,337,15.427,15.427,1.097999999999999,0.3283959146622623,0.035,,,0,0.06339999999999968,0.012000000000000455,-0.23859561880060776
LMC563.16.8349,LPV,OSARG,LPV,337,14.87,14.871,1.6210000000000004,1.1901635516307052,0.005,2.0663259253620376,7.519039628243191,1,0.019999999999999574,0.004000000000001336,0.694412231329057
LMC563.25.1419,ECL,,BINARY,337,19.36,19.365,0.47300000000000253,0.6952627228773403,0.407,,,0,0.3675999999999995,0.05699999999999861,1.5456947538048067
