id,ra,dec,type,subtype,I_mean,V_mean,period,I_amp,period2,class_grouped,n_obs_I,I_median,I_p95_p5,I_mad,I_kurtosis,V_minus_I,log_period,log_period2,period_ratio,has_period2,phot_I_path,phot_V_path,n_obs_I_phot,I_phot_mean,I_phot_median,I_phot_weighted_mean,I_phot_std,I_phot_mad,I_phot_p95_p5,n_obs_V,V_phot_mean,V_phot_median,V_phot_weighted_mean,V_phot_std,V_phot_mad,V_phot_p95_p5,V_minus_I_phot_mean,V_minus_I_phot_median,V_minus_I_phot_weighted_mean,ls_period_I,ls_log_period_I,ls_frequency_I,ls_power_I,ls_period_catalog_ratio,ls_log_period_delta_catalog,fourier_period_I,fourier_period_source_I,fourier_phase_coverage_I,fourier_offset_I,fourier_model_amp_I,fourier_total_amp_I,fourier_resid_std_I,fourier_chi2_red_I,fourier_var_ratio_I,fourier_A1_I,fourier_phi1_I,fourier_A2_I,fourier_phi2_I,fourier_A3_I,fourier_phi3_I,fourier_A4_I,fourier_phi4_I,fourier_R21_I,fourier_phi21_I,fourier_R31_I,fourier_phi31_I,fourier_R41_I,fourier_phi41_I,sample_type
LMC562.24.15,05:51:07.62,-67:25:03.1,DCEP,F,14.509,15.249,5.50733,0.511,,PULS,345,14.5,0.4898000000000007,0.1400000000000005,-1.1762821499458265,0.7400000000000002,0.7409411002483335,,,0,OGLE4-GSEP-full\phot\I\LMC562.24.15.dat,OGLE4-GSEP-full\phot\V\LMC562.24.15.dat,345,14.51950724637681,14.5,14.519507246376811,0.1569526501688066,0.1400000000000005,0.4898000000000007,29,15.185724137931038,15.133,15.185724137931034,0.2694287470811059,0.1800000000000015,0.8152000000000008,0.6662168915542281,0.6329999999999991,0.6662168915542228,5.507183625144678,0.7409295573342979,0.1815810163718173,0.7996477991102312,0.999973421811418,-1.1542914035600482e-05,5.507183625144678,lomb_scargle,1.0,14.520597009639514,0.5183370863502806,0.2267819254718402,0.0074525228794449,2.2744992214780884,0.9977454008986856,0.2042412623541528,5.986776586476184,0.0900808402468051,4.336336294225053,0.0358576645792306,2.5820515333003486,0.0177543961894063,0.8074658816945435,0.4410511333924563,4.929153735631858,0.1755652318533642,3.471277695410553,0.0869285470759592,1.9931007645081529,best
LMC562.14.10429,05:51:54.01,-67:31:28.8,DCEP,F,14.599,15.363,5.38032,0.414,,PULS,345,14.59,0.4048000000000016,0.1120000000000001,-1.1582696041164184,0.7639999999999993,0.7308081065402386,,,0,OGLE4-GSEP-full\phot\I\LMC562.14.10429.dat,,345,14.600371014492756,14.59,14.600371014492753,0.1312352373773563,0.1120000000000001,0.4048000000000016,0,,,,,,,,,,5.380444222261011,0.7308181335311428,0.1858582597813405,0.8149031093963913,1.0000230882663133,1.0026990904132838e-05,5.380444222261011,lomb_scargle,1.0,14.606493685680933,0.4138552173524328,0.1842575509997953,0.0063955564351148,1.675081058032178,0.997625043011162,0.1685996629744678,2.2655518090157885,0.0696801478732212,3.1631433945187557,0.0246734813158473,4.069816172974383,0.0078035285262873,4.944192953123375,0.413287586961389,4.915225083666765,0.1463435980864552,3.556346053106603,0.0462843661049847,2.1651710242398075,best
LMC562.25.64,05:49:03.39,-67:22:18.3,DCEP,1O,15.508,16.048,1.436722,0.31,,PULS,345,15.542,0.3018,0.0939999999999994,-1.4232759098509422,0.5399999999999991,0.1573727420061967,,,0,OGLE4-GSEP-full\phot\I\LMC562.25.64.dat,OGLE4-GSEP-full\phot\V\LMC562.25.64.dat,345,15.516649275362315,15.542,15.51495688317372,0.1092812214224292,0.0939999999999994,0.3018,29,16.019068965517242,15.974,16.019068965517242,0.199203401260851,0.1880000000000006,0.5358000000000018,0.5024196901549249,0.4320000000000004,0.5041120823435232,1.436713128889847,0.1573700604254301,0.6960331745368704,0.867128153134061,0.9999938254511638,-2.681580766605851e-06,1.436713128889847,lomb_scargle,1.0,15.513240876008656,0.3111977659191203,0.1512265234622706,0.0058151391223566,1.3264454646222728,0.9971684180332896,0.1460659809174867,5.174772666276373,0.0373785395861183,2.109084962401554,0.0109531561687829,5.136809429366068,0.0041308310844579,2.280261001603757,0.2559017462610522,4.325910244207982,0.0749877288331112,2.178862044896121,0.0282805829154118,0.4307262580370263,best
LMC562.10.8556,05:59:02.45,-67:35:40.6,LPV,SRV,13.746,16.61,715.0,0.299,128.0,LPV,344,13.702,0.5057000000000009,0.1234999999999999,-1.0045013951581692,2.863999999999999,2.8543060418010806,2.1072099696478683,0.179020979020979,1,OGLE4-GSEP-full\phot\I\LMC562.10.8556.dat,OGLE4-GSEP-full\phot\V\LMC562.10.8556.dat,344,13.728619186046512,13.702,13.728619186046512,0.1652930176130823,0.1234999999999999,0.5057000000000009,29,16.559413793103445,16.564,16.528908367961023,0.1951013504458972,0.125,0.6389999999999958,2.830794607056932,2.862,2.800289181914512,741.4031520000002,2.870054428056233,0.0013487938341001,0.8144409354757414,1.0369274853146857,0.0157483862551526,741.4031520000002,lomb_scargle,0.85,13.73842746124638,0.5814516454390215,0.2805836039136665,0.0135140409370516,7.479623968927656,0.993315615187794,0.2712403758032063,2.477414789375337,0.0651793165730296,0.3258045569143376,0.0115534575316558,4.519161655665304,0.0278207050495443,4.636551894109059,0.2403009374250364,1.6541602853432495,0.0425949031276903,3.3701025947188787,0.1025684504645029,1.0100780437872965,best
LMC571.11.128,06:05:26.47,-65:49:22.3,ECL,,16.816,17.569,0.3109711,0.513,,BINARY,332,16.764499999999998,0.475249999999999,0.0954999999999977,-0.8775857883122189,0.7530000000000001,-0.5072799701169749,,,0,OGLE4-GSEP-full\phot\I\LMC571.11.128.dat,,332,16.826328313253015,16.764499999999998,16.794932538094976,0.1589483681188953,0.0954999999999977,0.475249999999999,0,,,,,,,,,,0.1554857399947015,-0.8083094350975578,6.431457959000464,0.7805070153234853,0.5000006109722143,-0.3010294649805829,0.1554857399947015,lomb_scargle,1.0,16.827245441873032,0.4861145785388222,0.230128226729128,0.0170602521594578,2.3152190764346248,0.9884798337909824,0.2183096168249844,2.326237413928682,0.0682648215899283,4.651874917515922,0.0245572597530651,0.6725195039051687,0.0060635852378899,3.3465715464664383,0.3126972718048201,6.282585396838145,0.1124882179274418,6.260177876478296,0.0277751632112065,0.324807197931297,best
LMC571.04.5303,06:03:48.68,-66:02:48.5,ECL,,16.76,17.615,0.2737385,0.539,,BINARY,332,16.7025,0.5218999999999987,0.099499999999999,-0.9531138626824852,0.8549999999999969,-0.56266411686945,,,0,OGLE4-GSEP-full\phot\I\LMC571.04.5303.dat,OGLE4-GSEP-full\phot\V\LMC571.04.5303.dat,332,16.780207831325303,16.7025,16.745432010660455,0.1769331095519027,0.099499999999999,0.5218999999999987,29,17.662620689655174,17.592,17.627425508642247,0.2287911420914439,0.1660000000000003,0.5850000000000009,0.8824128583298716,0.8894999999999982,0.8819934979817923,0.1368693895125999,-0.8636936698516643,7.306235554648559,0.7726911023804812,0.5000005096564784,-0.3010295529822143,0.1368693895125999,lomb_scargle,1.0,16.772953761013596,0.5246499495697338,0.2497927955577772,0.0207736674405269,3.895976369914259,0.9862149568674116,0.2370619850974129,5.686030860497277,0.0745532981108893,5.099427685800673,0.0252831587441387,4.545251895867374,0.0007896574897049,5.503565886045329,0.3144886265938172,0.0105512719857054,0.1066521008577122,0.053529928734715,0.0033310169463925,1.6089983655949815,best
LMC562.29.97,05:55:18.03,-67:05:41.3,ECL,,16.359,16.284,2.158649,0.234,,BINARY,345,16.344,0.2230000000000025,0.0489999999999994,-0.7352955347485923,-0.0750000000000028,0.3341820310531916,,,0,OGLE4-GSEP-full\phot\I\LMC562.29.97.dat,,345,16.362617391304347,16.344,16.359029231880935,0.0732250333602982,0.0489999999999994,0.2230000000000025,0,,,,,,,,,,1.0793198015687933,0.0331501448482396,0.9265094539602612,0.846360671028297,0.4999978234390089,-0.3010318862049519,1.0793198015687933,lomb_scargle,1.0,16.360774793675365,0.2310846727683772,0.1031382731909602,0.0089777056042177,1.7020565430238996,0.984968180107536,0.0981067267632684,6.190632937666735,0.0257339105782852,6.152502848070501,0.0173716386479287,6.037106292702743,0.0069689007486932,5.982012712392306,0.2623052610896003,0.0544222799166167,0.1770687823460521,0.0315780940617074,0.0710338727894692,0.0690368832641254,best
LMC570.12.26,06:06:08.24,-67:03:51.2,LPV,Mira,14.108,16.128,210.5,1.131,,LPV,330,14.2105,1.1866500000000002,0.3719999999999999,-1.3299564153620893,2.02,2.323252100171687,,,0,OGLE4-GSEP-full\phot\I\LMC570.12.26.dat,,330,14.204260606060606,14.2105,14.204260606060606,0.4027608806908004,0.3719999999999999,1.1866500000000002,0,,,,,,,,,,209.4706055106858,2.3211230881129747,0.0047739395108063,0.9676658538360088,0.9951097648963696,-0.0021290120587122,209.4706055106858,lomb_scargle,1.0,14.183601735993948,1.2028029435803238,0.5774627556849798,0.0526230340648761,113.52790554137512,0.9829290690699712,0.5748484305328979,3.83620749891317,0.0411930048909866,2.833381182693757,0.0264130325917328,5.177376998091925,0.0248596897509594,1.1634519030697528,0.071658897725092,1.4441514920470038,0.0459478206581296,6.235125115711589,0.0432456425564456,4.668177828955832,best
LMC562.04.330,05:54:56.35,-67:56:55.8,LPV,Mira,16.791,,326.0,1.641,,LPV,344,17.5235,2.350900000000001,0.6575000000000006,-1.2945804123607914,,2.513217600067939,,,0,OGLE4-GSEP-full\phot\I\LMC562.04.330.dat,,344,17.316072674418603,17.5235,16.5528887552442,0.8421474964528173,0.6575000000000006,2.350900000000001,0,,,,,,,,,,320.8252080804991,2.5062684846126024,0.0031169620553915,0.7855200451916616,0.9841264051549056,-0.0069491154553364,320.8252080804991,lomb_scargle,1.0,17.073443925829025,2.611524333745609,1.2482322826949013,0.1186050603213672,166.01792295907424,0.9801650955071362,1.2379197129956907,0.4577491047904435,0.0516288228165618,5.239153407885377,0.0902793083176448,6.176958197936967,0.1217486216868762,2.846892540608938,0.0417061157315471,4.32365519830449,0.0729282419286905,4.803710883565637,0.098349368225385,1.015896121447164,best
LMC563.17.142,05:59:42.70,-66:09:08.0,OTHER,,16.543,17.153,,,,OTHER,334,16.684,0.2246999999999985,0.0630000000000006,-1.1814481020345753,0.6099999999999994,,,,0,OGLE4-GSEP-full\phot\I\LMC563.17.142.dat,,334,16.67816467065868,16.684,16.67219574419515,0.0749575243708135,0.0630000000000006,0.2246999999999985,0,,,,,,,,,,741.3992550000004,2.8700521452900496,0.0013488009237344,0.8268724296175008,,,741.3992550000004,lomb_scargle,0.85,16.660769082223233,0.2223558195635522,0.0949829996232348,0.0143330400694049,3.459142922629074,0.9634366347634046,0.0925544711686402,6.103256261445896,0.0122975642214837,4.998372190096428,0.0152913378308165,5.076459786357374,0.0083895760133094,3.8414204479781833,0.1328683970229464,5.3582302815638085,0.1652144692497318,5.616246923558444,0.0906447404147891,4.561136630912944,best
