feature,missing_pct,n_unique,forbidden_mean_or_median
I_mean,0.0,3186,True
V_mean,1.7870579382994733,2817,True
period,0.0,5027,False
I_amp,0.0,855,False
period2,46.12490594431904,2004,False
n_obs_I,0.0,180,False
I_median,0.0,3475,True
I_p95_p5,0.0,3690,False
I_mad,0.0,941,False
I_kurtosis,0.0,5316,False
V_minus_I,1.7870579382994733,3004,False
log_period,0.0,5027,False
log_period2,46.12490594431904,2004,False
period_ratio,46.12490594431904,2864,False
has_period2,0.0,2,False
n_obs_I_phot,0.0,180,False
I_phot_mean,0.0,5316,True
I_phot_median,0.0,3475,True
I_phot_weighted_mean,0.0,5316,True
I_phot_std,0.0,5316,False
I_phot_mad,0.0,941,False
I_phot_p95_p5,0.0,3690,False
n_obs_V,0.0,21,False
V_phot_mean,44.996237772761475,2899,True
V_phot_median,44.996237772761475,2052,True
V_phot_weighted_mean,44.996237772761475,2924,True
V_phot_std,44.996237772761475,2923,False
V_phot_mad,44.996237772761475,622,False
V_phot_p95_p5,44.996237772761475,2290,False
V_minus_I_phot_mean,44.996237772761475,2924,True
V_minus_I_phot_median,44.996237772761475,2286,True
V_minus_I_phot_weighted_mean,44.996237772761475,2924,True
ls_period_I,0.0,4884,False
ls_log_period_I,0.0,4884,False
ls_frequency_I,0.0,4884,False
ls_power_I,0.0,5316,False
ls_period_catalog_ratio,0.0,5315,False
ls_log_period_delta_catalog,0.0,5315,False
fourier_period_I,0.0,4884,False
fourier_phase_coverage_I,0.0,13,False
fourier_offset_I,0.0,5316,False
fourier_model_amp_I,0.0,5316,False
fourier_total_amp_I,0.0,5316,False
fourier_resid_std_I,0.0,5316,False
fourier_chi2_red_I,0.0,5316,False
fourier_var_ratio_I,0.0,5316,False
fourier_A1_I,0.0,5316,False
fourier_phi1_I,0.0,5316,False
fourier_A2_I,0.0,5316,False
fourier_phi2_I,0.0,5316,False
fourier_A3_I,0.0,5316,False
fourier_phi3_I,0.0,5316,False
fourier_A4_I,0.0,5316,False
fourier_phi4_I,0.0,5316,False
fourier_R21_I,0.0,5316,False
fourier_phi21_I,0.0,5316,False
fourier_R31_I,0.0,5316,False
fourier_phi31_I,0.0,5316,False
fourier_R41_I,0.0,5316,False
fourier_phi41_I,0.0,5316,False
fourier_fit_quality_I,0.0,5316,False
fourier_fit_reliable_I,0.0,2,False
