feature,mutual_info_train,rank_mutual_info,gbm_valid_permutation_f1_drop,gbm_valid_permutation_std,rank_gbm_valid_permutation,avg_rank
V_minus_I,0.7586076124835583,1,0.10341599176258688,0.00503610536345427,1,1.0
I_kurtosis,0.30384493945789237,26,0.08267259911170113,0.010514241738599965,2,14.0
ls_period_catalog_ratio,0.7022061178206738,3,0.03926783162456737,0.004520030332474929,3,3.0
period_ratio,0.5979468877894094,9,0.03912352681280597,0.006048921534288806,4,6.5
period,0.6849866991571261,5,0.018689528879757833,0.0037644192188560316,5,5.0
fourier_phi21_I,0.3306008576898207,24,0.004244238292938615,0.0026115089989783764,6,15.0
fourier_R21_I,0.12300322595376856,36,0.0019395123956496285,0.0014723249121921887,7,21.5
I_mad,0.4333267318616736,16,0.0015336806453044027,0.0020639683134452366,8,12.0
period2,0.6239142382870513,8,0.0014279034940375135,0.0007527973775737266,9,8.5
fourier_R41_I,0.08585333280502394,41,0.000915724126479292,0.0006096671694166778,10,25.5
fourier_var_ratio_I,0.12355698391214132,35,0.0007020505977510666,0.000906343424428281,11,23.0
I_amp,0.42651724804457025,17,0.00015858874640928278,0.0008792786789708344,12,14.5
fourier_A3_I,0.26016492710247374,28,0.00014326958210986174,0.0003790556847028427,13,20.5
fourier_resid_std_I,0.32149306405750666,25,0.00014326958210986174,0.0003790556847028427,14,19.5
fourier_chi2_red_I,0.08046724216988599,42,0.00011160621745112675,0.0016295676519729606,15,28.5
I_p95_p5,0.3839661280610014,22,0.0,0.0,16,19.0
log_period,0.685094876061062,4,0.0,0.0,17,10.5
n_obs_I,0.1164199663185015,38,0.0,0.0,18,28.0
V_phot_std,0.1717564787025887,32,0.0,0.0,19,25.5
n_obs_V,0.012843522623707054,47,0.0,0.0,20,33.5
I_phot_p95_p5,0.3834426923983174,23,0.0,0.0,21,22.0
I_phot_mad,0.4254833035833525,18,0.0,0.0,22,20.0
I_phot_std,0.4149327330926398,19,0.0,0.0,23,21.0
n_obs_I_phot,0.1164199663185015,39,0.0,0.0,24,31.5
has_period2,0.56683610376234,10,0.0,0.0,25,17.5
log_period2,0.6347516672444502,7,0.0,0.0,26,16.5
fourier_phase_coverage_I,0.05033588340023587,44,0.0,0.0,27,35.5
fourier_period_I,0.538514696074899,12,0.0,0.0,28,20.0
ls_frequency_I,0.5344082343910503,14,0.0,0.0,29,21.5
fourier_R31_I,0.039209185138042724,46,0.0,0.0,30,38.0
ls_log_period_delta_catalog,0.7039058832081058,2,0.0,0.0,31,16.5
V_phot_p95_p5,0.14144197423017246,34,0.0,0.0,32,33.0
ls_log_period_I,0.5380845095050917,13,0.0,0.0,33,23.0
ls_period_I,0.538514696074899,11,0.0,0.0,34,22.5
fourier_fit_reliable_I,0.08827642393342436,40,0.0,0.0,35,37.5
fourier_phi41_I,0.06471254180924846,43,0.0,0.0,36,39.5
fourier_phi3_I,0.03995863604328975,45,0.0,0.0,37,41.0
fourier_phi4_I,0.00929642395122765,48,0.0,0.0,38,43.0
fourier_A2_I,0.28391785909852874,27,0.0,0.0,39,33.0
fourier_model_amp_I,0.40707590489269907,21,-0.00019279537405159086,0.0017314018083935342,40,30.5
V_phot_mad,0.20325181911215062,29,-0.00021795280344268086,0.0011124022502569523,41,35.0
fourier_phi31_I,0.17289552245252882,31,-0.0002300231129119118,0.0006085839525618491,42,36.5
fourier_offset_I,0.6688922951361755,6,-0.0009256830935382987,0.0016147756959021334,43,24.5
fourier_A1_I,0.44936279745196805,15,-0.0015779925092363617,0.0011935708916266945,44,29.5
fourier_total_amp_I,0.4131036915703308,20,-0.0016101617903833826,0.0006085839525618491,45,32.5
ls_power_I,0.15036307925517178,33,-0.0016101617903833826,0.0006085839525618491,46,39.5
fourier_phi2_I,0.0,50,-0.0016101617903833826,0.0006085839525618491,47,48.5
fourier_fit_quality_I,0.12236517800233537,37,-0.0016101617903833826,0.0006085839525618491,48,42.5
fourier_A4_I,0.19695197560791855,30,-0.0016764000094272452,0.001223815828218632,49,39.5
fourier_phi1_I,0.0004993447766672432,49,-0.0018401849032952944,0.0,50,49.5
